,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA,,,,
Climate Path Displaced Electricity,Coal,GWh,2026,"  560,853.92 ","  337,479.50 ","  80,394.45 ","  5,573.74 ","  51,827.75 ","  6,755.84 ","  26,643.33 ","  22,299.26 ","  1,464.07 ","  16,538.89 ","  11,877.08 ",,,,
Climate Path Displaced Electricity,Coal,GWh,2027,"  1,004,541.04 ","  593,260.19 ","  158,272.53 ","  11,661.54 ","  92,559.74 ","  13,789.96 ","  48,503.44 ","  37,058.73 ","  2,507.87 ","  26,596.43 ","  20,330.60 ",,,,
Climate Path Displaced Electricity,Coal,GWh,2028,"  1,604,128.79 ","  924,747.21 ","  278,645.67 ","  20,890.48 ","  145,911.51 ","  24,141.86 ","  79,755.35 ","  54,846.91 ","  3,765.21 ","  40,909.85 ","  30,514.74 ",,,,
Climate Path Displaced Electricity,Coal,GWh,2029,"  2,418,396.74 ","  1,364,216.75 ","  444,019.09 ","  34,914.21 ","  214,464.31 ","  38,463.92 ","  133,565.01 ","  75,952.13 ","  5,256.47 ","  64,272.77 ","  43,272.09 ",,,,
Climate Path Displaced Electricity,Coal,GWh,2030,"  3,529,340.26 ","  1,945,835.13 ","  665,409.61 ","  55,926.40 ","  300,746.37 ","  57,002.21 ","  230,289.53 ","  100,565.70 ","  7,019.59 ","  108,961.32 ","  57,584.40 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2025,"  202,405.63 ","  21,186.86 ","  5,276.12 ","  28,993.43 ","  84,531.32 ","  7,818.79 ","  6,405.83 ","  35,397.90 ","  10,166.01 ",  781.25 ,"  1,848.12 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2026,"  495,559.65 ","  50,135.49 ","  13,322.40 ","  78,144.35 ","  205,344.09 ","  22,460.40 ","  15,856.80 ","  79,710.73 ","  24,269.52 ","  1,812.61 ","  4,503.26 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2027,"  905,741.34 ","  88,289.73 ","  26,200.22 ","  164,301.29 ","  366,723.56 ","  45,821.67 ","  29,046.13 ","  133,128.10 ","  41,355.51 ","  3,054.36 ","  7,820.77 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2028,"  1,461,084.45 ","  137,730.28 ","  46,464.60 ","  295,518.84 ","  578,054.23 ","  80,197.12 ","  47,873.17 ","  197,090.77 ","  61,738.94 ","  4,651.36 ","  11,765.15 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2029,"  2,213,426.25 ","  203,288.29 ","  73,906.56 ","  495,738.36 ","  849,479.33 ","  127,764.30 ","  80,278.84 ","  273,025.88 ","  86,036.91 ","  7,219.98 ","  16,687.79 ",,,,
Climate Path Displaced Electricity,Gas,GWh,2030,"  3,225,534.15 ","  290,099.18 ","  108,859.82 ","  796,677.38 ","  1,190,908.16 ","  189,342.71 ","  138,511.10 ","  361,700.64 ","  114,835.21 ","  12,402.36 ","  22,197.61 ",,,,
Climate Path Displaced Electricity,Oil,GWh,2025,"  10,886.73 ",  153.84 ,  341.22 ,"  3,770.48 ",  807.12 ,  55.75 ,  277.23 ,"  2,752.89 ","  1,501.56 ",  909.76 ,  316.88 ,,,,
Climate Path Displaced Electricity,Oil,GWh,2026,"  23,061.45 ",  292.48 ,  864.86 ,"  9,177.58 ","  1,966.91 ",  156.99 ,  472.98 ,"  4,176.97 ","  3,547.89 ","  1,817.87 ",  586.92 ,,,,
Climate Path Displaced Electricity,Oil,GWh,2027,"  41,280.31 ",  358.34 ,"  1,730.23 ","  18,396.16 ","  3,515.41 ",  344.73 ,  681.78 ,"  6,283.32 ","  6,294.12 ","  2,783.88 ",  892.34 ,,,,
Climate Path Displaced Electricity,Oil,GWh,2028,"  66,830.13 ",  450.34 ,"  2,708.16 ","  31,765.40 ","  5,591.80 ",  625.64 ,"  1,009.14 ","  9,238.09 ","  9,800.10 ","  4,328.85 ","  1,312.59 ",,,,
Climate Path Displaced Electricity,Oil,GWh,2029,"  102,509.29 ",  560.19 ,"  4,449.74 ","  51,250.88 ","  8,377.90 ","  1,006.20 ","  1,583.59 ","  12,698.79 ","  13,835.93 ","  6,888.67 ","  1,857.39 ",,,,
Climate Path Displaced Electricity,Oil,GWh,2030,"  154,080.61 ",  657.80 ,"  8,565.41 ","  79,502.95 ","  12,077.33 ","  1,490.76 ","  2,634.09 ","  16,617.95 ","  18,536.92 ","  11,515.98 ","  2,481.42 ",,,,
,,,,,,,,,,,,,,,,,,
Climate Path Displaced Electricity,Coal,GWh,2025-2030,"  9,352,103.50 ","  5,308,357.30 ","  1,658,572.98 ","  131,057.69 ","  826,844.29 ","  142,505.93 ","  529,660.60 ","  300,864.08 ","  20,627.30 ","  264,982.77 ","  168,630.57 ",,,,
Climate Path Displaced Electricity,Coal,%,2025-2030,51%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path Emissions Calculations,,,,,,,,,,,,,,,,,,
Reduction from Forecast Electricity Gen,Coal,%,2025,2.4%,2.5%,1.8%,2.4%,4.4%,1.2%,2.0%,2.8%,2.5%,3.6%,0.9%,,,,
Reduction from Forecast Electricity Gen,Coal,%,2026,5.8%,5.9%,4.6%,7.2%,12.4%,4.0%,5.3%,8.5%,8.5%,8.9%,2.5%,,,,
Reduction from Forecast Electricity Gen,Coal,%,2027,10.7%,10.4%,8.9%,15.3%,24.1%,8.9%,10.4%,17.2%,20.0%,15.3%,5.2%,,,,
Reduction from Forecast Electricity Gen,Coal,%,2028,17.3%,16.2%,15.2%,28.0%,40.8%,15.4%,17.7%,27.6%,35.9%,23.5%,9.5%,,,,
Reduction from Forecast Electricity Gen,Coal,%,2029,26.5%,24.2%,24.0%,48.1%,63.1%,25.0%,30.7%,41.0%,55.3%,37.2%,17.8%,,,,
Reduction from Forecast Electricity Gen,Coal,%,2030,39.6%,34.8%,35.5%,78.0%,92.4%,38.3%,57.1%,59.8%,80.3%,64.1%,36.3%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2025,2.8%,3.9%,1.8%,1.7%,4.2%,0.9%,1.4%,6.0%,3.0%,2.2%,0.5%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2026,6.5%,9.1%,3.8%,4.4%,10.2%,2.4%,2.9%,11.0%,7.9%,5.0%,1.0%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2027,11.8%,14.8%,6.7%,9.2%,18.5%,5.1%,4.7%,18.9%,15.4%,8.6%,1.8%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2028,19.1%,21.8%,11.7%,16.3%,29.9%,9.4%,7.1%,29.5%,25.4%,14.4%,2.9%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2029,29.0%,30.2%,18.1%,27.0%,45.4%,15.2%,11.3%,42.7%,37.1%,24.2%,4.4%,,,,
Reduction from Forecast Electricity Gen,Gas,%,2030,42.5%,41.6%,25.3%,42.9%,66.0%,22.7%,18.8%,59.7%,51.4%,40.3%,6.0%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2025,2.2%,3.9%,1.8%,1.7%,4.2%,0.9%,1.4%,6.0%,3.0%,2.2%,0.5%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2026,5.1%,9.1%,3.8%,4.4%,10.2%,2.4%,2.9%,11.0%,7.9%,5.0%,1.0%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2027,9.7%,14.8%,6.7%,9.2%,18.5%,5.1%,4.7%,18.9%,15.4%,8.6%,1.8%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2028,16.5%,21.8%,11.7%,16.3%,29.9%,9.4%,7.1%,29.5%,25.4%,14.4%,2.9%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2029,26.1%,30.2%,18.1%,27.0%,45.4%,15.2%,11.3%,42.7%,37.1%,24.2%,4.4%,,,,
Reduction from Forecast Electricity Gen,Oil,%,2030,39.2%,41.6%,25.3%,42.9%,66.0%,22.7%,18.8%,59.7%,51.4%,40.3%,6.0%,,,,
,,,,,,,,,,,,,,,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2025,  0.22 ,  0.13 ,  0.03 ,  0.00 ,  0.02 ,  0.00 ,  0.01 ,  0.01 ,  0.00 ,  0.01 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2026,  0.53 ,  0.31 ,  0.07 ,  0.01 ,  0.05 ,  0.01 ,  0.03 ,  0.02 ,  0.00 ,  0.02 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2027,  0.96 ,  0.55 ,  0.14 ,  0.01 ,  0.10 ,  0.03 ,  0.05 ,  0.04 ,  0.00 ,  0.03 ,  0.02 ,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2028,  1.53 ,  0.86 ,  0.24 ,  0.02 ,  0.16 ,  0.04 ,  0.08 ,  0.06 ,  0.01 ,  0.04 ,  0.03 ,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2029,  2.30 ,  1.26 ,  0.38 ,  0.04 ,  0.23 ,  0.07 ,  0.14 ,  0.08 ,  0.01 ,  0.07 ,  0.05 ,,,,
Reduction in Forecast Fossil Emissions,Coal,GtCO2,2030,  3.35 ,  1.79 ,  0.57 ,  0.06 ,  0.32 ,  0.11 ,  0.25 ,  0.11 ,  0.01 ,  0.11 ,  0.07 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2025,  0.10 ,  0.01 ,  0.00 ,  0.01 ,  0.03 ,  0.01 ,  0.00 ,  0.02 ,  0.01 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2026,  0.23 ,  0.03 ,  0.00 ,  0.04 ,  0.07 ,  0.02 ,  0.01 ,  0.04 ,  0.01 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2027,  0.42 ,  0.05 ,  0.01 ,  0.07 ,  0.13 ,  0.03 ,  0.01 ,  0.06 ,  0.02 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2028,  0.67 ,  0.08 ,  0.02 ,  0.13 ,  0.19 ,  0.06 ,  0.02 ,  0.08 ,  0.03 ,  0.00 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2029,  1.00 ,  0.12 ,  0.03 ,  0.22 ,  0.28 ,  0.10 ,  0.03 ,  0.10 ,  0.05 ,  0.00 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Gas,GtCO2,2030,  1.43 ,  0.17 ,  0.04 ,  0.35 ,  0.38 ,  0.15 ,  0.05 ,  0.11 ,  0.06 ,  0.01 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2025,  0.01 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2026,  0.02 ,  0.00 ,  0.00 ,  0.01 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2027,  0.04 ,  0.00 ,  0.00 ,  0.02 ,  0.00 ,  0.00 ,  0.00 ,  0.01 ,  0.01 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2028,  0.07 ,  0.00 ,  0.00 ,  0.03 ,  0.00 ,  0.00 ,  0.00 ,  0.01 ,  0.01 ,  0.00 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2029,  0.10 ,  0.01 ,  0.00 ,  0.05 ,  0.01 ,  0.00 ,  0.00 ,  0.01 ,  0.01 ,  0.01 ,  0.00 ,,,,
Reduction in Forecast Fossil Emissions,Oil,GtCO2,2030,  0.15 ,  0.01 ,  0.01 ,  0.08 ,  0.01 ,  0.00 ,  0.00 ,  0.01 ,  0.02 ,  0.01 ,  0.00 ,,,,
,,,,,,,,,,,,,,,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO2,2025,  0.33 ,  0.15 ,  0.03 ,  0.02 ,  0.05 ,  0.01 ,  0.01 ,  0.03 ,  0.01 ,  0.01 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO1,2026,  0.78 ,  0.34 ,  0.07 ,  0.05 ,  0.13 ,  0.03 ,  0.03 ,  0.06 ,  0.02 ,  0.02 ,  0.01 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO0,2027,  1.41 ,  0.60 ,  0.15 ,  0.10 ,  0.23 ,  0.06 ,  0.06 ,  0.10 ,  0.03 ,  0.03 ,  0.02 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO1,2028,  2.26 ,  0.94 ,  0.26 ,  0.19 ,  0.36 ,  0.11 ,  0.10 ,  0.15 ,  0.05 ,  0.05 ,  0.04 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO2,2029,  3.40 ,  1.38 ,  0.41 ,  0.31 ,  0.51 ,  0.17 ,  0.18 ,  0.19 ,  0.07 ,  0.08 ,  0.06 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO3,2030,  4.93 ,  1.97 ,  0.61 ,  0.49 ,  0.71 ,  0.26 ,  0.31 ,  0.24 ,  0.09 ,  0.13 ,  0.08 ,,,,
Reduction in Forecast Fossil Emissions,Coal+Gas+Oil,GtCO4,2025-2030,  13.11 ,  5.39 ,  1.53 ,  1.15 ,  1.99 ,  0.64 ,  0.70 ,  0.77 ,  0.26 ,  0.32 ,  0.22 ,,,,
,,,,,,,,,,,,,,,,,,
Indirect Calculations for Climate Path Total Fossil Fuel Reductions,,,,,,,,,,,,,,,,,,
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2025,"  2,342.51 ","  1,405.60 ",  290.73 ,  23.77 ,  232.70 ,  39.93 ,  115.23 ,  98.69 ,  7.87 ,  84.50 ,  48.35 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2026,"  5,617.59 ","  3,305.36 ",  732.47 ,  65.17 ,  576.22 ,  126.63 ,  288.47 ,  238.03 ,  19.95 ,  181.51 ,  118.60 ,,Conversion Factors,,
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2027,"  10,096.98 ","  5,801.32 ","  1,444.97 ",  137.19 ,"  1,042.54 ",  269.73 ,  537.03 ,  418.35 ,  35.82 ,  295.54 ,  211.92 ,,Coal,"  94,600 ",tCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2028,"  16,129.98 ","  9,039.80 ","  2,542.02 ",  246.49 ,"  1,652.78 ",  465.31 ,  890.69 ,  625.79 ,  54.81 ,  455.02 ,  331.76 ,,Gas,"  56,100 ",tCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2029,"  24,303.59 ","  13,314.17 ","  4,033.93 ",  413.84 ,"  2,438.05 ",  750.50 ,"  1,500.38 ",  871.80 ,  77.04 ,  713.98 ,  503.42 ,,Oil,"  74,100 ",tCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Coal,PJ,2030,"  35,429.41 ","  18,951.67 ","  6,011.80 ",  664.91 ,"  3,429.18 ","  1,137.54 ","  2,633.43 ","  1,168.78 ",  103.44 ,"  1,209.35 ",  740.69 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2025,"  1,702.63 ",  210.40 ,  36.61 ,  236.07 ,  522.62 ,  101.16 ,  50.07 ,  319.52 ,  94.47 ,  7.10 ,  15.69 ,,Coal,  0.0000946 ,GtCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2026,"  4,103.89 ",  532.98 ,  88.73 ,  626.07 ,"  1,262.23 ",  285.33 ,  120.17 ,  647.66 ,  231.57 ,  16.59 ,  37.22 ,,Gas,  0.0000561 ,GtCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2027,"  7,454.83 ",  934.62 ,  169.69 ,"  1,303.25 ","  2,243.74 ",  599.89 ,  214.98 ,"  1,047.84 ",  407.01 ,  28.17 ,  63.74 ,,Oil,  0.0000741 ,GtCO2 per PJ
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2028,"  11,898.41 ","  1,435.66 ",  296.83 ,"  2,321.27 ","  3,473.71 ","  1,080.27 ",  347.35 ,"  1,442.48 ",  618.53 ,  43.36 ,  95.64 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2029,"  17,761.96 ","  2,082.03 ",  464.25 ,"  3,866.96 ","  4,947.76 ","  1,759.30 ",  571.21 ,"  1,763.17 ",  866.63 ,  67.67 ,  135.77 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Gas,PJ,2030,"  25,544.96 ","  2,977.50 ",  670.78 ,"  6,158.81 ","  6,710.03 ","  2,664.34 ",  971.95 ,"  2,006.58 ","  1,158.49 ",  113.68 ,  178.52 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2025,  135.36 ,  12.52 ,  3.47 ,  49.57 ,  8.44 ,  2.60 ,  3.01 ,  28.07 ,  17.27 ,  9.26 ,  2.58 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2026,  295.40 ,  28.56 ,  8.44 ,  122.42 ,  20.53 ,  7.09 ,  5.31 ,  44.96 ,  41.42 ,  19.01 ,  5.05 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2027,  537.10 ,  44.46 ,  16.23 ,  247.09 ,  36.69 ,  14.83 ,  7.80 ,  70.03 ,  74.34 ,  29.73 ,  7.93 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2028,  877.28 ,  62.91 ,  25.56 ,  427.71 ,  58.37 ,  26.41 ,  11.55 ,  103.97 ,  116.53 ,  46.87 ,  11.83 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2029,"  1,349.32 ",  83.46 ,  41.10 ,  692.10 ,  87.41 ,  42.11 ,  18.07 ,  143.94 ,  165.17 ,  75.06 ,  16.94 ,,,,
Reduction from Forecast in Fossil Fuel Energy,Oil,PJ,2030,"  2,005.52 ",  109.32 ,  73.07 ,"  1,075.97 ",  125.89 ,  62.04 ,  29.93 ,  190.49 ,  222.01 ,  124.76 ,  22.62 ,,,,
,,,,,,,,,,,,,,,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2025,1.5%,1.5%,1.3%,1.0%,3.7%,0.6%,1.3%,1.8%,0.7%,1.9%,0.6%,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2026,3.6%,3.5%,3.2%,2.9%,10.3%,1.9%,3.4%,4.9%,2.1%,4.3%,1.6%,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2027,6.5%,6.2%,6.3%,6.1%,20.1%,4.2%,6.5%,9.5%,3.9%,7.0%,3.2%,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2028,10.5%,9.8%,10.8%,11.0%,33.9%,7.2%,10.9%,14.9%,6.2%,10.6%,5.5%,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2029,16.1%,14.6%,17.0%,18.7%,52.7%,11.8%,18.5%,21.8%,8.9%,16.4%,9.4%,,,,
Percent Reduction from Forecast in Fossil Energy,Coal,%,2030,23.9%,21.1%,25.1%,30.4%,77.3%,18.1%,33.5%,31.0%,12.3%,27.4%,16.2%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2025,1.1%,1.4%,0.6%,0.7%,1.3%,0.4%,0.6%,2.0%,1.1%,0.6%,0.2%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2026,2.6%,3.4%,1.3%,1.8%,3.3%,1.2%,1.4%,4.0%,2.8%,1.4%,0.5%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2027,4.6%,5.7%,2.4%,3.8%,5.8%,2.5%,2.3%,6.7%,5.2%,2.3%,0.9%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2028,7.4%,8.4%,4.1%,6.7%,9.1%,4.6%,3.6%,9.8%,8.0%,3.5%,1.4%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2029,11.1%,11.8%,6.1%,11.0%,13.2%,7.5%,5.7%,13.0%,11.3%,5.4%,2.1%,,,,
Percent Reduction from Forecast in Fossil Energy,Gas,%,2030,16.0%,16.4%,8.3%,17.2%,18.3%,11.3%,9.6%,16.2%,15.1%,8.6%,2.8%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2025,0.1%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.1%,0.1%,0.2%,0.0%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2026,0.2%,0.1%,0.1%,0.6%,0.1%,0.1%,0.0%,0.2%,0.3%,0.3%,0.0%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2027,0.3%,0.1%,0.1%,1.3%,0.1%,0.2%,0.1%,0.3%,0.6%,0.5%,0.1%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2028,0.5%,0.2%,0.1%,2.2%,0.2%,0.3%,0.1%,0.5%,0.9%,0.8%,0.1%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2029,0.8%,0.2%,0.2%,3.5%,0.3%,0.5%,0.1%,0.7%,1.2%,1.3%,0.1%,,,,
Percent Reduction from Forecast in Fossil Energy,Oil,%,2030,1.1%,0.3%,0.4%,5.3%,0.4%,0.7%,0.2%,0.9%,1.6%,2.0%,0.2%,,,,
